id|year|title|genres|original_language|productions_companies|overview|tagline|budget|revenue
64690|2011|Drive|Drama, Thriller, Crime|en|FilmDistrict|Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.|Get In. Get Out. Get Away|15000000.0|78054825.0
1771|2011|Captain America: The First Avenger|Action, Adventure, Science Fiction|en|Marvel Studios|During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.|When patriots become heroes|140000000.0|370569774.0
65754|2011|The Girl with the Dragon Tattoo|Thriller, Crime, Mystery, Drama|en|Ground Control|This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.|Evil shall with evil be expelled.|90000000.0|232617430.0
61791|2011|Rise of the Planet of the Apes|Thriller, Action, Drama, Science Fiction|en|Dune Entertainment III|Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects – especially Caesar, his pet chimpanzee.|Evolution Becomes Revolution.|93000000.0|482860185.0
45772|2011|Gnomeo & Juliet|Animation, Family|en|Touchstone Pictures|A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?|A LITTLE ADVENTURE GOES A LAWN WAY.|36000000.0|189712432.0
49013|2011|Cars 2|Animation, Family, Adventure, Comedy|en|Pixar|Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.|Ka-ciao!|200000000.0|559852396.0
45612|2011|Source Code|Thriller, Science Fiction, Mystery|en|The Mark Gordon Company|Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time.|Make Every Second Count|32000000.0|147332697.0
38117|2011|Beastly|Drama, Fantasy, Romance|en|Storefront Films|A curse transforms a handsome and arrogant young man into everything he detests in this contemporary retelling of Beauty and the Beast. Wealthy Kyle Kingson has everything a teenager could want in life, but he still gets off on humiliating the weaker and less attractive. When Kyle invites his misfit classmate Kendra to an environmental rally at their school, she questions his motivations but reluctantly accepts. Later, Kyle blows Kendra off, prompting the spurned goth girl to cast a dark spell on the swaggering egotist.|Love is never ugly.|17000000.0|43165571.0
58574|2011|Sherlock Holmes: A Game of Shadows|Adventure, Action, Crime, Mystery|en|Village Roadshow Pictures|There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.|The game is afoot.|125000000.0|334615000.0
44912|2011|Green Lantern|Adventure, Action, Thriller, Science Fiction|en|DC Entertainment|For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.|In our darkest hour, there will be light.|200000000.0|219851172.0
